Tier,Bucket,States,L0,L1,L2,L3,L4,L5,TheoreticalL3FinalBelow,TheoreticalL4FinalBelow,TheoreticalL5FinalBelow
E,NORMAL,37500,16239,20315,946,0,0,0,0,0,0
E,PRESSURED,37500,3059,22247,12076,118,0,0,0,0,0
E,SERIOUS,37500,0,20,4012,23910,9543,15,135,2075,311
E,CRITICAL,37500,0,0,42,3418,25728,8312,0,112,1913
D,NORMAL,37500,20939,16375,186,0,0,0,0,0,0
D,PRESSURED,37500,2548,25745,9182,25,0,0,0,0,0
D,SERIOUS,37500,0,4,4274,25224,7992,6,47,1200,133
D,CRITICAL,37500,0,0,50,5818,26374,5258,0,114,851
C,NORMAL,37500,25086,12403,11,0,0,0,0,0,0
C,PRESSURED,37500,6085,25641,5742,32,0,0,0,0,0
C,SERIOUS,37500,0,9,4802,25290,7396,3,0,113,50
C,CRITICAL,37500,0,0,171,9040,25194,3095,0,77,363
B,NORMAL,37500,28827,8673,0,0,0,0,0,0,0
B,PRESSURED,37500,9807,24772,2921,0,0,0,0,0,0
B,SERIOUS,37500,0,259,10261,23700,3279,1,26,312,12
B,CRITICAL,37500,0,0,226,12265,23424,1585,0,36,129
A,NORMAL,37500,31869,5631,0,0,0,0,0,0,0
A,PRESSURED,37500,13475,22615,1410,0,0,0,0,0,0
A,SERIOUS,37500,0,491,13273,21745,1991,0,70,134,4
A,CRITICAL,37500,0,0,414,15312,21014,760,0,28,26
