"Model","Scenario","At3m","At5m","At10m","Final","BandTransitions","RecoveryCount"
"None","F0","80","80","80","80","0","0"
"None","F1","80","80","80","80","0","0"
"None","F2","70","70","70","70","0","0"
"None","F3","62","62","62","62","0","0"
"None","F4","66","74","100","100","1","0"
"None","F5","68","68","78","78","1","0"
"None","F6","20","20","20","20","0","0"
"None","F7","45","45","45","45","0","0"
"None","F8","60","60","60","60","0","0"
"QuietWindow","F0","76","74","68","68","0","6"
"QuietWindow","F1","76","74","68","68","0","6"
"QuietWindow","F2","66","64","58","58","1","6"
"QuietWindow","F3","58","56","50","50","1","6"
"QuietWindow","F4","66","74","100","100","1","0"
"QuietWindow","F5","66","64","70","70","1","4"
"QuietWindow","F6","16","14","8","8","0","6"
"QuietWindow","F7","41","39","33","33","0","6"
"QuietWindow","F8","60","60","60","60","0","0"
"StateGated","F0","76","74","68","68","0","6"
"StateGated","F1","80","80","80","80","0","0"
"StateGated","F2","70","70","70","70","0","0"
"StateGated","F3","62","58","52","52","1","5"
"StateGated","F4","66","74","100","100","1","0"
"StateGated","F5","66","64","70","70","1","4"
"StateGated","F6","16","14","8","8","0","6"
"StateGated","F7","41","39","33","33","0","6"
"StateGated","F8","60","60","60","60","0","0"
"BandAware","F0","76","74","68","68","0","6"
"BandAware","F1","76","74","68","68","0","6"
"BandAware","F2","66","64","58","58","1","6"
"BandAware","F3","58","57","54","54","1","6"
"BandAware","F4","66","74","100","100","1","0"
"BandAware","F5","66","64","70","70","1","4"
"BandAware","F6","20","20","20","20","0","6"
"BandAware","F7","43","42","39","39","0","6"
"BandAware","F8","60","60","60","60","0","0"
"StateAndBandAware","F0","76","74","68","68","0","6"
"StateAndBandAware","F1","80","80","80","80","0","0"
"StateAndBandAware","F2","70","70","70","70","0","0"
"StateAndBandAware","F3","62","58","55","55","1","5"
"StateAndBandAware","F4","66","74","100","100","1","0"
"StateAndBandAware","F5","66","64","70","70","1","4"
"StateAndBandAware","F6","20","20","20","20","0","6"
"StateAndBandAware","F7","43","42","39","39","0","6"
"StateAndBandAware","F8","60","60","60","60","0","0"
