"Model","QuietWindow","Delta","F0At3m","F0At5m","F0At10m","F4BandTransitions","F4Final"
"None","30","-1","80","80","80","1","100"
"None","30","-2","80","80","80","1","100"
"None","30","-3","80","80","80","1","100"
"None","30","-4","80","80","80","1","100"
"None","60","-1","80","80","80","1","100"
"None","60","-2","80","80","80","1","100"
"None","60","-3","80","80","80","1","100"
"None","60","-4","80","80","80","1","100"
"None","90","-1","80","80","80","1","100"
"None","90","-2","80","80","80","1","100"
"None","90","-3","80","80","80","1","100"
"None","90","-4","80","80","80","1","100"
"None","120","-1","80","80","80","1","100"
"None","120","-2","80","80","80","1","100"
"None","120","-3","80","80","80","1","100"
"None","120","-4","80","80","80","1","100"
"QuietWindow","30","-1","74","70","60","1","95"
"QuietWindow","30","-2","68","60","40","1","88"
"QuietWindow","30","-3","62","50","20","3","81"
"QuietWindow","30","-4","56","40","0","3","74"
"QuietWindow","60","-1","77","75","70","1","100"
"QuietWindow","60","-2","74","70","60","1","100"
"QuietWindow","60","-3","71","65","50","1","100"
"QuietWindow","60","-4","68","60","40","1","100"
"QuietWindow","90","-1","78","77","74","1","100"
"QuietWindow","90","-2","76","74","68","1","100"
"QuietWindow","90","-3","74","71","62","1","100"
"QuietWindow","90","-4","72","68","56","1","100"
"QuietWindow","120","-1","79","78","75","1","100"
"QuietWindow","120","-2","78","76","70","1","100"
"QuietWindow","120","-3","77","74","65","1","100"
"QuietWindow","120","-4","76","72","60","1","100"
"StateGated","30","-1","74","70","60","1","95"
"StateGated","30","-2","68","60","40","1","88"
"StateGated","30","-3","62","50","20","3","81"
"StateGated","30","-4","56","40","0","3","74"
"StateGated","60","-1","77","75","70","1","100"
"StateGated","60","-2","74","70","60","1","100"
"StateGated","60","-3","71","65","50","1","100"
"StateGated","60","-4","68","60","40","1","100"
"StateGated","90","-1","78","77","74","1","100"
"StateGated","90","-2","76","74","68","1","100"
"StateGated","90","-3","74","71","62","1","100"
"StateGated","90","-4","72","68","56","1","100"
"StateGated","120","-1","79","78","75","1","100"
"StateGated","120","-2","78","76","70","1","100"
"StateGated","120","-3","77","74","65","1","100"
"StateGated","120","-4","76","72","60","1","100"
"BandAware","30","-1","74","70","60","1","96"
"BandAware","30","-2","68","60","49","1","90"
"BandAware","30","-3","62","54.5","39.5","1","84"
"BandAware","30","-4","56","48","28","3","78"
"BandAware","60","-1","77","75","70","1","100"
"BandAware","60","-2","74","70","60","1","100"
"BandAware","60","-3","71","65","54.5","1","100"
"BandAware","60","-4","68","60","48","1","100"
"BandAware","90","-1","78","77","74","1","100"
"BandAware","90","-2","76","74","68","1","100"
"BandAware","90","-3","74","71","62","1","100"
"BandAware","90","-4","72","68","56","1","100"
"BandAware","120","-1","79","78","75","1","100"
"BandAware","120","-2","78","76","70","1","100"
"BandAware","120","-3","77","74","65","1","100"
"BandAware","120","-4","76","72","60","1","100"
"StateAndBandAware","30","-1","74","70","60","1","96"
"StateAndBandAware","30","-2","68","60","49","1","90"
"StateAndBandAware","30","-3","62","54.5","39.5","1","84"
"StateAndBandAware","30","-4","56","48","28","3","78"
"StateAndBandAware","60","-1","77","75","70","1","100"
"StateAndBandAware","60","-2","74","70","60","1","100"
"StateAndBandAware","60","-3","71","65","54.5","1","100"
"StateAndBandAware","60","-4","68","60","48","1","100"
"StateAndBandAware","90","-1","78","77","74","1","100"
"StateAndBandAware","90","-2","76","74","68","1","100"
"StateAndBandAware","90","-3","74","71","62","1","100"
"StateAndBandAware","90","-4","72","68","56","1","100"
"StateAndBandAware","120","-1","79","78","75","1","100"
"StateAndBandAware","120","-2","78","76","70","1","100"
"StateAndBandAware","120","-3","77","74","65","1","100"
"StateAndBandAware","120","-4","76","72","60","1","100"
